-DOCSTART- -X- O
I -X- _ O
haven't -X- _ O
done -X- _ O
anything. -X- _ O
So -X- _ O
now -X- _ O
my -X- _ O
money -X- _ O
is -X- _ O
stuck -X- _ O
and -X- _ O
I -X- _ O
need -X- _ O
help!! -X- _ O
Email -X- _ O
: -X- _ O
XXXX -X- _ O
XXXX -X- _ O

Hi -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Dean -X- _ B-PER
Smith -X- _ I-PER
and -X- _ O
this -X- _ O
issues -X- _ O
is -X- _ O
concerning -X- _ O
the -X- _ O
transfer -X- _ O
of -X- _ O
$60295 -X- _ B-AMOUNT
on -X- _ O
2020-07-10. -X- _ B-DATE
The -X- _ O
transaction -X- _ O
id -X- _ O
is -X- _ O
MWZB92442588253031. -X- _ B-ID
I -X- _ O
placed -X- _ O
an -X- _ O
order -X- _ O
online -X- _ O
with -X- _ O
my -X- _ O
American -X- _ B-ORG
Express -X- _ I-ORG
serve -X- _ O
card. -X- _ O
I -X- _ O
mismatched -X- _ O
the -X- _ O
billing -X- _ O
and -X- _ O
shipping -X- _ O
addresses -X- _ O
and -X- _ O
placed -X- _ O
the -X- _ O
order -X- _ O
however -X- _ O
the -X- _ O
order -X- _ O
never -X- _ O
went -X- _ O
through -X- _ O
the -X- _ O
money -X- _ O
was -X- _ O
still -X- _ O
put -X- _ O
on -X- _ O
hold. -X- _ O
It -X- _ O
's -X- _ O
really -X- _ O
important -X- _ O
to -X- _ O
me -X- _ O
that -X- _ O
I -X- _ O
can -X- _ O
correctly -X- _ O
place -X- _ O
this -X- _ O
order -X- _ O
as -X- _ O
soon -X- _ O
as -X- _ O
possible -X- _ O
but -X- _ O
there -X- _ O
is -X- _ O
absolutely -X- _ O
no -X- _ O
customer -X- _ O
support -X- _ O
for -X- _ O
the -X- _ O
American -X- _ O
Express -X- _ O
serve -X- _ O
card -X- _ O
to -X- _ O
help -X- _ O
relieve -X- _ O
the -X- _ O
hold. -X- _ O
If -X- _ O
there -X- _ O
was -X- _ O
someone -X- _ O
I -X- _ O
could -X- _ O
explain -X- _ O
the -X- _ O
situation -X- _ O
to -X- _ O
then -X- _ O
I -X- _ O
know -X- _ O
they -X- _ O
would -X- _ O
be -X- _ O
able -X- _ O
to -X- _ O
take -X- _ O
care -X- _ O
of -X- _ O
the -X- _ O
situation -X- _ O
but -X- _ O
there -X- _ O
's -X- _ O
nobody -X- _ O
but -X- _ O
a -X- _ O
menu -X- _ O
to -X- _ O
greet -X- _ O
you -X- _ O
when -X- _ O
you -X- _ O
call -X- _ O
or -X- _ O
get -X- _ O
transferred -X- _ O
for -X- _ O
customer -X- _ O
support. -X- _ O

I'm -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
status -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
IYSF50381767338262. -X- _ B-ID
My -X- _ O
name -X- _ O
is -X- _ O
Lorraine -X- _ B-PER
Kelly -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
made -X- _ O
the -X- _ O
transaction -X- _ O
on -X- _ O
2021-06-15. -X- _ B-DATE
I -X- _ O
use -X- _ O
XXXX -X- _ O
for -X- _ O
investing -X- _ O
and -X- _ O
saving -X- _ O
for -X- _ O
the -X- _ O
future. -X- _ O
I -X- _ O
essentially -X- _ O
use -X- _ O
it -X- _ O
as -X- _ O
my -X- _ O
savings -X- _ O
account. -X- _ O
I -X- _ O
have -X- _ O
had -X- _ O
my -X- _ O
PNC -X- _ O
account -X- _ O
linked -X- _ O
with -X- _ O
XXXX -X- _ O
for -X- _ O
almost -X- _ O
two -X- _ O
years -X- _ O
now. -X- _ O
This -X- _ O
has -X- _ O
happened -X- _ O
twice -X- _ O
before, -X- _ O
where -X- _ O
PNC -X- _ O
has -X- _ O
not -X- _ O
allowed -X- _ O
me -X- _ O
to -X- _ O
link -X- _ O
my -X- _ O
account -X- _ O
up -X- _ O
with -X- _ O
XXXX. -X- _ O
I -X- _ O
have -X- _ O
called -X- _ O
numerous -X- _ O
times, -X- _ O
and -X- _ O
they -X- _ O
give -X- _ O
me -X- _ O
some -X- _ O
reason -X- _ O
why -X- _ O
it -X- _ O
can -X- _ O
not -X- _ O
be -X- _ O
done, -X- _ O
and -X- _ O
eventually -X- _ O
goes -X- _ O
back -X- _ O
to -X- _ O
normal -X- _ O
a -X- _ O
few -X- _ O
days -X- _ O
later? -X- _ O
Well -X- _ O
it -X- _ O
has -X- _ O
happened -X- _ O
again, -X- _ O
and -X- _ O
I -X- _ O
am -X- _ O
not -X- _ O
sure -X- _ O
for -X- _ O
what -X- _ O
reason. -X- _ O
I've -X- _ O
heard -X- _ O
the -X- _ O
entire -X- _ O
fraudulent -X- _ O
activity -X- _ O
script -X- _ O
but -X- _ O
come -X- _ O
on -X- _ O
now. -X- _ O
I -X- _ O
have -X- _ O
been -X- _ O
making -X- _ O
money -X- _ O
transfers -X- _ O
to -X- _ O
XXXX -X- _ O
for -X- _ O
two -X- _ O
years -X- _ O
now. -X- _ O
I -X- _ O
am -X- _ O
growing -X- _ O
angry -X- _ O
with -X- _ O
having -X- _ O
to -X- _ O
repeat -X- _ O
this -X- _ O
process -X- _ O
of -X- _ O
being -X- _ O
able -X- _ O
to -X- _ O
relink -X- _ O
my -X- _ O
account -X- _ O
every -X- _ O
year -X- _ O
for -X- _ O
an -X- _ O
investment -X- _ O
service -X- _ O
I -X- _ O
have -X- _ O
used -X- _ O
seamlessly -X- _ O
and -X- _ O
has -X- _ O
not -X- _ O
given -X- _ O
me -X- _ O
any -X- _ O
issues. -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Anthony -X- _ B-PER
Castillo -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
XSDD29053621631666 -X- _ B-ID
made -X- _ O
on -X- _ O
2020-02-10. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$79472. -X- _ B-AMOUNT
Theres -X- _ O
a -X- _ O
incoming -X- _ O
transaction -X- _ O
in -X- _ O
my -X- _ O
Coinbase -X- _ O
account -X- _ O
that -X- _ O
has -X- _ O
been -X- _ O
pending -X- _ O
for -X- _ O
more -X- _ O
than -X- _ O
48 -X- _ O
hours. -X- _ O
It -X- _ O
said -X- _ O
that -X- _ O
my -X- _ O
USD -X- _ O
will -X- _ O
arrive -X- _ O
by -X- _ O
end -X- _ O
of -X- _ O
the -X- _ O
day -X- _ O
on -X- _ O
XXXX -X- _ O
XXXX, -X- _ O
2018. -X- _ O
It -X- _ O
has -X- _ O
300+ -X- _ O
confirmations -X- _ O
n -X- _ O
still -X- _ O
pending. -X- _ O
I -X- _ O
contacted -X- _ O
Coinbase -X- _ O
Support -X- _ O
and -X- _ O
all -X- _ O
they -X- _ O
said -X- _ O
was -X- _ O
my -X- _ O
case -X- _ O
was -X- _ O
escalated -X- _ O
to -X- _ O
a -X- _ O
specialist -X- _ O
to -X- _ O
review -X- _ O
which -X- _ O
might -X- _ O
takes -X- _ O
days -X- _ O
to -X- _ O
get -X- _ O
to. -X- _ O
I -X- _ O
checked -X- _ O
blockchain -X- _ O
and -X- _ O
it -X- _ O
looked -X- _ O
like -X- _ O
the -X- _ O
money -X- _ O
went -X- _ O
to -X- _ O
my -X- _ O
address -X- _ O
and -X- _ O
then -X- _ O
went -X- _ O
right -X- _ O
out. -X- _ O
Please -X- _ O
help -X- _ O
me. -X- _ O

I'm -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
status -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
QHHZ22658949977770. -X- _ B-ID
My -X- _ O
name -X- _ O
is -X- _ O
Lee -X- _ B-PER
Jones -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
made -X- _ O
the -X- _ O
transaction -X- _ O
on -X- _ O
2020-10-08. -X- _ B-DATE
Binance.US -X- _ O
will -X- _ O
not -X- _ O
verify -X- _ O
my -X- _ O
account. -X- _ O
I -X- _ O
am -X- _ O
unable -X- _ O
to -X- _ O
withdraw -X- _ O
any -X- _ O
money -X- _ O
from -X- _ O
my -X- _ O
account -X- _ O
until -X- _ O
my -X- _ O
account -X- _ O
is -X- _ O
verified. -X- _ O
I -X- _ O
have -X- _ O
submitted -X- _ O
all -X- _ O
the -X- _ O
required -X- _ O
documents -X- _ O
and -X- _ O
have -X- _ O
heard -X- _ O
nothing. -X- _ O
I -X- _ O
followed -X- _ O
up -X- _ O
by -X- _ O
opening -X- _ O
a -X- _ O
ticket -X- _ O
on -X- _ O
their -X- _ O
online -X- _ O
support -X- _ O
system -X- _ O
and -X- _ O
got -X- _ O
an -X- _ O
automated -X- _ O
email. -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Ryan -X- _ B-PER
Roberts -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
NDAD02540880680825 -X- _ B-ID
made -X- _ O
on -X- _ O
2020-02-09. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$16333. -X- _ B-AMOUNT
I -X- _ O
tried -X- _ O
to -X- _ O
buy -X- _ O
PPE -X- _ O
from -X- _ O
a -X- _ O
site, -X- _ O
XXXX -X- _ O
and -X- _ O
they -X- _ O
take -X- _ O
PayPal. -X- _ O
The -X- _ O
site -X- _ O
appears -X- _ O
legitimate -X- _ O
but -X- _ O
upon -X- _ O
further -X- _ O
review -X- _ O
is -X- _ O
known -X- _ O
to -X- _ O
fail -X- _ O
to -X- _ O
deliver -X- _ O
on -X- _ O
their -X- _ O
products. -X- _ O
I -X- _ O
tried -X- _ O
to -X- _ O
have -X- _ O
PayPal -X- _ O
stop -X- _ O
the -X- _ O
transaction -X- _ O
but -X- _ O
nothing -X- _ O
happened -X- _ O
and -X- _ O
the -X- _ O
charge -X- _ O
went -X- _ O
up -X- _ O
from -X- _ O
$61.00 -X- _ B-AMOUNT
to -X- _ O
$70.00 -X- _ B-AMOUNT
for -X- _ O
the -X- _ O
purchase -X- _ O
which -X- _ O
makes -X- _ O
it -X- _ O
even -X- _ O
more -X- _ O
suspicious. -X- _ O
Please -X- _ O
tell -X- _ O
PayPal -X- _ O
to -X- _ O
shut -X- _ O
down -X- _ O
this -X- _ O
merchant -X- _ O
and -X- _ O
refund -X- _ O
the -X- _ O
money -X- _ O
- -X- _ O
there -X- _ O
are -X- _ O
many -X- _ O
complaints -X- _ O
about -X- _ O
this -X- _ O
site. -X- _ O
It -X- _ O
appears -X- _ O
to -X- _ O
be -X- _ O
based -X- _ O
in -X- _ O
XXXX. -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Ryan -X- _ B-PER
Hanna -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
BLTK07497603719462 -X- _ B-ID
made -X- _ O
on -X- _ O
2019-11-03. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$51453. -X- _ B-AMOUNT
Respected -X- _ O
sir -X- _ O
I -X- _ O
am -X- _ O
XXXX -X- _ O
XXXX -X- _ O
from -X- _ O
XXXX -X- _ O
and -X- _ O
I -X- _ O
have -X- _ O
been -X- _ O
fighting -X- _ O
a -X- _ O
litigation -X- _ O
in -X- _ O
the -X- _ O
XXXX -X- _ O
court. -X- _ O
I -X- _ O
am -X- _ O
an -X- _ O
USA -X- _ O
citizen. -X- _ O
I -X- _ O
would -X- _ O
request -X- _ O
you -X- _ O
to -X- _ O
help -X- _ O
me -X- _ O
get -X- _ O
the -X- _ O
transaction -X- _ O
made -X- _ O
from -X- _ O
USA -X- _ O
to -X- _ O
XXXX -X- _ O
by -X- _ O
me -X- _ O
from -X- _ O
the -X- _ O
XXXX-XXXX -X- _ O
I -X- _ O
have -X- _ O
tried -X- _ O
with -X- _ O
the -X- _ O
banks -X- _ O
and -X- _ O
henceforth -X- _ O
I -X- _ O
am -X- _ O
submitting -X- _ O
to -X- _ O
you -X- _ O
the -X- _ O
documents -X- _ O
My -X- _ O
email -X- _ O
- -X- _ O
XXXX -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Miss -X- _ O
Jessica -X- _ B-PER
Harrison -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
QCQF67359558120991 -X- _ B-ID
made -X- _ O
on -X- _ O
2019-10-23. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$27557. -X- _ B-AMOUNT
Funds -X- _ O
were -X- _ O
taken -X- _ O
out -X- _ O
of -X- _ O
two -X- _ O
of -X- _ O
my -X- _ O
checking -X- _ O
accounts. -X- _ O
One -X- _ O
account -X- _ O
$900.00 -X- _ B-AMOUNT
was -X- _ O
taken. -X- _ O
The -X- _ O
other -X- _ O
account -X- _ O
$300.00 -X- _ B-AMOUNT
was -X- _ O
taken. -X- _ O
Funds -X- _ O
were -X- _ O
deposited -X- _ O
into -X- _ O
Coinbase -X- _ O
without -X- _ O
permission. -X- _ O
Funds -X- _ O
wrrethen -X- _ O
transferred -X- _ O
to -X- _ O
an -X- _ O
unknown -X- _ O
address. -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Crystal -X- _ B-PER
Daniels -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
YCSV47094344814464 -X- _ B-ID
made -X- _ O
on -X- _ O
2021-08-15. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$55163. -X- _ B-AMOUNT
XXXX, -X- _ O
Your -X- _ O
transaction -X- _ O
has -X- _ O
been -X- _ O
canceled -X- _ O
and -X- _ O
will -X- _ O
no -X- _ O
longer -X- _ O
be -X- _ O
processed. -X- _ O
We -X- _ O
will -X- _ O
refund -X- _ O
the -X- _ O
account -X- _ O
you -X- _ O
used -X- _ O
to -X- _ O
pay -X- _ O
for -X- _ O
your -X- _ O
transaction. -X- _ O
Refunds -X- _ O
to -X- _ O
a -X- _ O
credit -X- _ O
or -X- _ O
debit -X- _ O
card -X- _ O
typically -X- _ O
take -X- _ O
3-10 -X- _ O
business -X- _ O
days. -X- _ O
While -X- _ O
the -X- _ O
funds -X- _ O
have -X- _ O
been -X- _ O
withdrawn, -X- _ O
your -X- _ O
bank -X- _ O
may -X- _ O
not -X- _ O
show -X- _ O
a -X- _ O
charge -X- _ O
immediately. -X- _ O
Receiver -X- _ O
: -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
Send -X- _ O
Amount -X- _ O
: -X- _ O
XXXX -X- _ O
USD -X- _ O
Date -X- _ O
: -X- _ O
XXXX -X- _ O
Reference -X- _ O
# -X- _ O
: -X- _ O
XXXX -X- _ O
The -X- _ O
total -X- _ O
cost -X- _ O
of -X- _ O
this -X- _ O
transaction -X- _ O
fee -X- _ O
was -X- _ O
$21.00 -X- _ O
which -X- _ O
they -X- _ O
refuse -X- _ O
to -X- _ O
refund. -X- _ O
I -X- _ O
sent -X- _ O
money -X- _ O
to -X- _ O
XXXX -X- _ O
XXXX -X- _ O
because -X- _ O
the -X- _ O
recipient -X- _ O
was -X- _ O
in -X- _ O
XXXX -X- _ O
XXXX -X- _ O
but -X- _ O
they -X- _ O
refused -X- _ O
to -X- _ O
give -X- _ O
her -X- _ O
the -X- _ O
money -X- _ O
because -X- _ O
her -X- _ O
I.D -X- _ O
. -X- _ O
was -X- _ O
from -X- _ O
XXXX. -X- _ O
So -X- _ O
I -X- _ O
had -X- _ O
to -X- _ O
cancel -X- _ O
and -X- _ O
resend -X- _ O
with -X- _ O
the -X- _ O
receiving -X- _ O
State -X- _ O
as -X- _ O
XXXX -X- _ O
but -X- _ O
she -X- _ O
received -X- _ O
the -X- _ O
Money -X- _ O
in -X- _ O
XXXX -X- _ O
XXXX. -X- _ O
I -X- _ O
followed -X- _ O
the -X- _ O
instructions -X- _ O
to -X- _ O
the -X- _ O
letter -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O

I'm -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
status -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
FREQ00827327579014. -X- _ B-ID
My -X- _ O
name -X- _ O
is -X- _ O
Stefanie -X- _ B-PER
Schroeder -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
made -X- _ O
the -X- _ O
transaction -X- _ O
on -X- _ O
2020-07-20. -X- _ B-DATE
My -X- _ O
account -X- _ O
with -X- _ O
pay -X- _ O
pal -X- _ O
was -X- _ O
closed -X- _ O
for -X- _ O
180 -X- _ O
days -X- _ O
for -X- _ O
no -X- _ O
reason -X- _ O
on -X- _ O
XX/XX/2020 -X- _ O
and -X- _ O
I -X- _ O
have -X- _ O
tried -X- _ O
multiple -X- _ O
times -X- _ O
to -X- _ O
contact -X- _ O
them -X- _ O
but -X- _ O
nobody -X- _ O
offers -X- _ O
any -X- _ O
help -X- _ O
at -X- _ O
all -X- _ O
they -X- _ O
keep -X- _ O
giving -X- _ O
you -X- _ O
the -X- _ O
run -X- _ O
around -X- _ O
and -X- _ O
there -X- _ O
are -X- _ O
never -X- _ O
any -X- _ O
live -X- _ O
chat -X- _ O
members -X- _ O
and -X- _ O
nobody -X- _ O
answers -X- _ O
the -X- _ O
phone -X- _ O
or -X- _ O
emails. -X- _ O
So -X- _ O
I -X- _ O
was -X- _ O
patient -X- _ O
and -X- _ O
it -X- _ O
had -X- _ O
been -X- _ O
over -X- _ O
180 -X- _ O
days -X- _ O
and -X- _ O
I -X- _ O
have -X- _ O
still -X- _ O
not -X- _ O
gotten -X- _ O
an -X- _ O
email -X- _ O
to -X- _ O
release -X- _ O
my -X- _ O
funds. -X- _ O
Pay -X- _ O
pal -X- _ O
is -X- _ O
such -X- _ O
a -X- _ O
bad -X- _ O
service -X- _ O
and -X- _ O
I -X- _ O
would -X- _ O
like -X- _ O
to -X- _ O
receive -X- _ O
an -X- _ O
email -X- _ O
immediately -X- _ O
because -X- _ O
I -X- _ O
worked -X- _ O
hard -X- _ O
for -X- _ O
my -X- _ O
money. -X- _ O
The -X- _ O
email -X- _ O
link -X- _ O
connected -X- _ O
to -X- _ O
my -X- _ O
pay -X- _ O
pal -X- _ O
is -X- _ O
XXXX -X- _ O
XXXX -X- _ O

I'm -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
status -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
HHJN92410710414275. -X- _ B-ID
My -X- _ O
name -X- _ O
is -X- _ O
Jennifer -X- _ B-PER
Fleming -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
made -X- _ O
the -X- _ O
transaction -X- _ O
on -X- _ O
2021-03-23. -X- _ B-DATE
On -X- _ O
XX/XX/2017, -X- _ O
I -X- _ O
initiated -X- _ O
a -X- _ O
currency -X- _ O
exchange -X- _ O
( -X- _ O
via -X- _ O
ACH -X- _ O
transfer -X- _ O
) -X- _ O
of -X- _ O
$1600.00 -X- _ B-AMOUNT
USD -X- _ O
to -X- _ O
BTC -X- _ O
( -X- _ O
Bitcoin -X- _ O
) -X- _ O
with -X- _ O
Coinbase.com. -X- _ O
The -X- _ O
money -X- _ O
left -X- _ O
my -X- _ O
back -X- _ O
account -X- _ O
via -X- _ O
ACH -X- _ O
transfer -X- _ O
and -X- _ O
I -X- _ O
was -X- _ O
promised -X- _ O
that -X- _ O
the -X- _ O
exchange -X- _ O
would -X- _ O
clear -X- _ O
and -X- _ O
be -X- _ O
available -X- _ O
to -X- _ O
me -X- _ O
by -X- _ O
XX/XX/2017 -X- _ O
but -X- _ O
they -X- _ O
still -X- _ O
have -X- _ O
not -X- _ O
cleared -X- _ O
the -X- _ O
transaction -X- _ O
and -X- _ O
show -X- _ O
that -X- _ O
it -X- _ O
is -X- _ O
pending. -X- _ O
They -X- _ O
are -X- _ O
holding -X- _ O
my -X- _ O
money -X- _ O
locked -X- _ O
and -X- _ O
are -X- _ O
refusing -X- _ O
to -X- _ O
allow -X- _ O
me -X- _ O
access -X- _ O
to -X- _ O
it. -X- _ O
I -X- _ O
have -X- _ O
made -X- _ O
repeated -X- _ O
attempts -X- _ O
to -X- _ O
reach -X- _ O
them -X- _ O
by -X- _ O
phone -X- _ O
and -X- _ O
email -X- _ O
under -X- _ O
multiple -X- _ O
case -X- _ O
# -X- _ O
XXXX, -X- _ O
# -X- _ O
XXXX -X- _ O
and -X- _ O
# -X- _ O
XXXX -X- _ O
but -X- _ O
they -X- _ O
have -X- _ O
not -X- _ O
responded -X- _ O
with -X- _ O
any -X- _ O
info -X- _ O
on -X- _ O
the -X- _ O
issue. -X- _ O
They -X- _ O
have -X- _ O
not -X- _ O
given -X- _ O
me -X- _ O
any -X- _ O
status -X- _ O
updates -X- _ O
other -X- _ O
than -X- _ O
saying -X- _ O
that -X- _ O
my -X- _ O
case -X- _ O
has -X- _ O
been -X- _ O
escalated -X- _ O
to -X- _ O
a -X- _ O
specialist. -X- _ O
It's -X- _ O
been -X- _ O
almost -X- _ O
2 -X- _ O
months -X- _ O
now -X- _ O
and -X- _ O
I -X- _ O
still -X- _ O
do -X- _ O
not -X- _ O
have -X- _ O
access -X- _ O
to -X- _ O
my -X- _ O
funds. -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
James -X- _ B-PER
Moyer -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
IAVI32538483608018 -X- _ B-ID
made -X- _ O
on -X- _ O
2020-09-05. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$43418. -X- _ B-AMOUNT
On -X- _ O
XX/XX/2020 -X- _ O
I -X- _ O
canceled -X- _ O
my -X- _ O
debt -X- _ O
collection -X- _ O
program -X- _ O
with -X- _ O
Freedom -X- _ O
Debt -X- _ O
Relief -X- _ O
due -X- _ O
to -X- _ O
hidden -X- _ O
fees. -X- _ O
I -X- _ O
was -X- _ O
aware -X- _ O
of -X- _ O
a -X- _ O
$12.00 -X- _ B-AMOUNT
fee, -X- _ O
but -X- _ O
was -X- _ O
not -X- _ O
aware -X- _ O
of -X- _ O
the -X- _ O
additional -X- _ O
fees -X- _ O
for -X- _ O
a -X- _ O
monthly -X- _ O
service -X- _ O
fee -X- _ O
$9.00 -X- _ B-AMOUNT
and -X- _ O
a -X- _ O
settlement -X- _ O
fee -X- _ O
of -X- _ O
$370.00 -X- _ B-AMOUNT
for -X- _ O
just -X- _ O
reaching -X- _ O
a -X- _ O
settlement -X- _ O
with -X- _ O
the -X- _ O
debt -X- _ O
collector. -X- _ O
Total -X- _ O
monthly -X- _ O
fees -X- _ O
for -X- _ O
$400.00 -X- _ B-AMOUNT
for -X- _ O
XX/XX/2020. -X- _ O
FDR -X- _ O
is -X- _ O
full -X- _ O
of -X- _ O
lies -X- _ O
and -X- _ O
should -X- _ O
not -X- _ O
be -X- _ O
doing -X- _ O
business -X- _ O
in -X- _ O
the -X- _ O
United -X- _ O
States. -X- _ O

Hi -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Marvin -X- _ B-PER
Medina -X- _ I-PER
and -X- _ O
this -X- _ O
issues -X- _ O
is -X- _ O
concerning -X- _ O
the -X- _ O
transfer -X- _ O
of -X- _ O
$19053 -X- _ B-AMOUNT
on -X- _ O
2020-12-23. -X- _ B-DATE
The -X- _ O
transaction -X- _ O
id -X- _ O
is -X- _ O
INEQ43024548698604. -X- _ B-ID
I -X- _ O
bought -X- _ O
tickets -X- _ O
on -X- _ O
XX/XX/XXXX -X- _ O
by -X- _ O
using -X- _ O
XXXX -X- _ O
from -X- _ O
my -X- _ O
bank -X- _ O
XXXX -X- _ O
XXXX -X- _ O
in -X- _ O
XXXX.for -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
Concert -X- _ O
the -X- _ O
next -X- _ O
day. -X- _ O
I -X- _ O
opened -X- _ O
an -X- _ O
account -X- _ O
with -X- _ O
XXXX -X- _ O
to, -X- _ O
electronically -X- _ O
receive -X- _ O
tickets -X- _ O
but -X- _ O
never -X- _ O
got -X- _ O
them -X- _ O
from -X- _ O
the -X- _ O
seller -X- _ O
XXXX -X- _ O
XXXX -X- _ O
or -X- _ O
XXXX -X- _ O
XXXX -X- _ O
on -X- _ O
XXXX -X- _ O
XXXX.with -X- _ O
the -X- _ O
telephone -X- _ O
number -X- _ O
XXXX -X- _ O
; -X- _ O
associated -X- _ O
with -X- _ O
XXXX -X- _ O
The -X- _ O
number -X- _ O
he -X- _ O
called -X- _ O
me -X- _ O
on -X- _ O
was -X- _ O
XXXX -X- _ O
The -X- _ O
amount -X- _ O
was -X- _ O
$500.00 -X- _ B-AMOUNT
I -X- _ O
am -X- _ O
a -X- _ O
XXXX -X- _ O
XXXX -X- _ O
at -X- _ O
XXXX -X- _ O
years -X- _ O
old -X- _ O
and -X- _ O
find -X- _ O
this -X- _ O
is -X- _ O
a -X- _ O
fraudulent -X- _ O
way -X- _ O
to -X- _ O
transfer -X- _ O
money. -X- _ O
Bank -X- _ O
account -X- _ O
numbers -X- _ O
should -X- _ O
be -X- _ O
linked -X- _ O
to -X- _ O
XXXX -X- _ O
not -X- _ O
just -X- _ O
mobile -X- _ O
phones -X- _ O

I'm -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
status -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
SKNE99083295821431. -X- _ B-ID
My -X- _ O
name -X- _ O
is -X- _ O
Karla -X- _ B-PER
Anderson -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
made -X- _ O
the -X- _ O
transaction -X- _ O
on -X- _ O
2019-11-12. -X- _ B-DATE
I -X- _ O
was -X- _ O
doing -X- _ O
some -X- _ O
online -X- _ O
shopping -X- _ O
at -X- _ O
XXXX -X- _ O
last -X- _ O
night -X- _ O
XX/XX/2020 -X- _ O
I -X- _ O
received -X- _ O
multiple -X- _ O
emails -X- _ O
about -X- _ O
my -X- _ O
purchases -X- _ O
that -X- _ O
they -X- _ O
were -X- _ O
declined -X- _ O
so -X- _ O
I -X- _ O
went -X- _ O
back -X- _ O
to -X- _ O
Cash -X- _ O
App -X- _ O
where -X- _ O
my -X- _ O
money -X- _ O
is -X- _ O
currently -X- _ O
being -X- _ O
held -X- _ O
then -X- _ O
as -X- _ O
I -X- _ O
Noticed -X- _ O
the -X- _ O
app -X- _ O
said -X- _ O
funds -X- _ O
are -X- _ O
not -X- _ O
available -X- _ O
but -X- _ O
the -X- _ O
current -X- _ O
balance -X- _ O
in -X- _ O
my -X- _ O
cash -X- _ O
app -X- _ O
is -X- _ O
a -X- _ O
little -X- _ O
over -X- _ O
$4000.00 -X- _ B-AMOUNT
so -X- _ O
I -X- _ O
tried -X- _ O
sending -X- _ O
a -X- _ O
dollar -X- _ O
to -X- _ O
my -X- _ O
husband -X- _ O
and -X- _ O
it -X- _ O
still -X- _ O
said -X- _ O
Funds -X- _ O
is -X- _ O
not -X- _ O
available -X- _ O
tried -X- _ O
reaching -X- _ O
out -X- _ O
to -X- _ O
cash -X- _ O
app -X- _ O
